"Notes"	"Census Region"	"Census Region Code"	"Race"	"Race Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	"Drug/Alcohol Induced Cause"	"Drug/Alcohol Induced Cause Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	% of Total Deaths
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-44 years"	"35-44"	"2015"	"2015"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	15	945379	Unreliable	0.9	2.6	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-44 years"	"35-44"	"2015"	"2015"	"All other drug-induced causes"	"D9"	11	945379	Unreliable	0.6	2.1	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-44 years"	"35-44"	"2015"	"2015"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	14	945379	Unreliable	0.8	2.5	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-44 years"	"35-44"	"2015"	"2015"	"All other alcohol-induced causes"	"A9"	51	945379	5.4	4.0	7.1	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-44 years"	"35-44"	"2015"	"2015"	"All other non-drug and non-alcohol causes"	"O9"	2408	945379	254.7	244.5	264.9	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-44 years"	"35-44"	"2016"	"2016"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	374	936420	39.9	35.9	44.0	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-44 years"	"35-44"	"2016"	"2016"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	15	936420	Unreliable	0.9	2.6	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-44 years"	"35-44"	"2016"	"2016"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	12	936420	Unreliable	0.7	2.2	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-44 years"	"35-44"	"2016"	"2016"	"All other drug-induced causes"	"D9"	11	936420	Unreliable	0.6	2.1	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-44 years"	"35-44"	"2016"	"2016"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	10	936420	Unreliable	0.5	2.0	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-44 years"	"35-44"	"2016"	"2016"	"All other alcohol-induced causes"	"A9"	56	936420	6.0	4.5	7.8	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-44 years"	"35-44"	"2016"	"2016"	"All other non-drug and non-alcohol causes"	"O9"	2511	936420	268.1	257.7	278.6	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-44 years"	"35-44"	"2017"	"2017"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	492	938143	52.4	47.8	57.1	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-44 years"	"35-44"	"2017"	"2017"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	11	938143	Unreliable	0.6	2.1	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-44 years"	"35-44"	"2017"	"2017"	"All other drug-induced causes"	"D9"	22	938143	2.3	1.5	3.6	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-44 years"	"35-44"	"2017"	"2017"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	17	938143	Unreliable	1.1	2.9	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-44 years"	"35-44"	"2017"	"2017"	"All other alcohol-induced causes"	"A9"	71	938143	7.6	5.9	9.5	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"35-44 years"	"35-44"	"2017"	"2017"	"All other non-drug and non-alcohol causes"	"O9"	2612	938143	278.4	267.7	289.1	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"1999"	"1999"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	152	734055	20.7	17.4	24.0	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"1999"	"1999"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	12	734055	Unreliable	0.8	2.9	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"1999"	"1999"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	15	734055	Unreliable	1.1	3.4	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"1999"	"1999"	"All other drug-induced causes"	"D9"	79	734055	10.8	8.5	13.4	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"1999"	"1999"	"All other alcohol-induced causes"	"A9"	189	734055	25.7	22.1	29.4	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"1999"	"1999"	"All other non-drug and non-alcohol causes"	"O9"	5709	734055	777.7	757.6	797.9	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2000"	"2000"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	180	762857	23.6	20.1	27.0	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2000"	"2000"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	10	762857	Unreliable	0.6	2.4	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2000"	"2000"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	18	762857	Unreliable	1.4	3.7	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2000"	"2000"	"All other drug-induced causes"	"D9"	83	762857	10.9	8.7	13.5	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2000"	"2000"	"All other alcohol-induced causes"	"A9"	195	762857	25.6	22.0	29.1	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2000"	"2000"	"All other non-drug and non-alcohol causes"	"O9"	6001	762857	786.6	766.7	806.6	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2001"	"2001"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	198	807443	24.5	21.1	27.9	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2001"	"2001"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	23	807443	2.8	1.8	4.3	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2001"	"2001"	"All other drug-induced causes"	"D9"	109	807443	13.5	11.0	16.0	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2001"	"2001"	"All other alcohol-induced causes"	"A9"	197	807443	24.4	21.0	27.8	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2001"	"2001"	"All other non-drug and non-alcohol causes"	"O9"	6039	807443	747.9	729.1	766.8	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2002"	"2002"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	216	834694	25.9	22.4	29.3	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2002"	"2002"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	29	834694	3.5	2.3	5.0	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2002"	"2002"	"All other drug-induced causes"	"D9"	98	834694	11.7	9.5	14.3	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2002"	"2002"	"All other alcohol-induced causes"	"A9"	176	834694	21.1	18.0	24.2	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2002"	"2002"	"All other non-drug and non-alcohol causes"	"O9"	6450	834694	772.7	753.9	791.6	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2003"	"2003"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	197	860373	22.9	19.7	26.1	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2003"	"2003"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	22	860373	2.6	1.6	3.9	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2003"	"2003"	"All other drug-induced causes"	"D9"	79	860373	9.2	7.3	11.4	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2003"	"2003"	"All other alcohol-induced causes"	"A9"	167	860373	19.4	16.5	22.4	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2003"	"2003"	"All other non-drug and non-alcohol causes"	"O9"	6618	860373	769.2	750.7	787.7	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2004"	"2004"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	258	883527	29.2	25.6	32.8	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2004"	"2004"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	12	883527	Unreliable	0.7	2.4	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2004"	"2004"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	14	883527	Unreliable	0.9	2.7	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2004"	"2004"	"All other drug-induced causes"	"D9"	104	883527	11.8	9.5	14.0	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2004"	"2004"	"All other alcohol-induced causes"	"A9"	159	883527	18.0	15.2	20.8	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2004"	"2004"	"All other non-drug and non-alcohol causes"	"O9"	6613	883527	748.5	730.4	766.5	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2005"	"2005"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	280	906128	30.9	27.3	34.5	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2005"	"2005"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	15	906128	Unreliable	0.9	2.7	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2005"	"2005"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	17	906128	Unreliable	1.1	3.0	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2005"	"2005"	"All other drug-induced causes"	"D9"	93	906128	10.3	8.3	12.6	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2005"	"2005"	"All other alcohol-induced causes"	"A9"	184	906128	20.3	17.4	23.2	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2005"	"2005"	"All other non-drug and non-alcohol causes"	"O9"	6655	906128	734.4	716.8	752.1	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2006"	"2006"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	379	925623	40.9	36.8	45.1	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2006"	"2006"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	20	925623	2.2	1.3	3.3	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2006"	"2006"	"All other drug-induced causes"	"D9"	91	925623	9.8	7.9	12.1	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2006"	"2006"	"All other alcohol-induced causes"	"A9"	148	925623	16.0	13.4	18.6	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2006"	"2006"	"All other non-drug and non-alcohol causes"	"O9"	6507	925623	703.0	685.9	720.1	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2007"	"2007"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	336	941907	35.7	31.9	39.5	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2007"	"2007"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	15	941907	Unreliable	0.9	2.6	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2007"	"2007"	"All other drug-induced causes"	"D9"	79	941907	8.4	6.6	10.5	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2007"	"2007"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	12	941907	Unreliable	0.7	2.2	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2007"	"2007"	"All other alcohol-induced causes"	"A9"	129	941907	13.7	11.3	16.1	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2007"	"2007"	"All other non-drug and non-alcohol causes"	"O9"	6525	941907	692.7	675.9	709.6	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2008"	"2008"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	284	955415	29.7	26.3	33.2	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2008"	"2008"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	17	955415	Unreliable	1.0	2.8	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2008"	"2008"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	22	955415	2.3	1.4	3.5	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2008"	"2008"	"All other drug-induced causes"	"D9"	57	955415	6.0	4.5	7.7	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2008"	"2008"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	13	955415	Unreliable	0.7	2.3	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2008"	"2008"	"All other alcohol-induced causes"	"A9"	141	955415	14.8	12.3	17.2	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2008"	"2008"	"All other non-drug and non-alcohol causes"	"O9"	6535	955415	684.0	667.4	700.6	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2009"	"2009"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	290	964753	30.1	26.6	33.5	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2009"	"2009"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	17	964753	Unreliable	1.0	2.8	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2009"	"2009"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	16	964753	Unreliable	0.9	2.7	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2009"	"2009"	"All other drug-induced causes"	"D9"	53	964753	5.5	4.1	7.2	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2009"	"2009"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	17	964753	Unreliable	1.0	2.8	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2009"	"2009"	"All other alcohol-induced causes"	"A9"	141	964753	14.6	12.2	17.0	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2009"	"2009"	"All other non-drug and non-alcohol causes"	"O9"	6222	964753	644.9	628.9	661.0	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2010"	"2010"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	250	969911	25.8	22.6	29.0	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2010"	"2010"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	10	969911	Unreliable	0.5	1.9	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2010"	"2010"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	16	969911	Unreliable	0.9	2.7	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2010"	"2010"	"All other drug-induced causes"	"D9"	50	969911	5.2	3.8	6.8	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2010"	"2010"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	15	969911	Unreliable	0.9	2.6	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2010"	"2010"	"All other alcohol-induced causes"	"A9"	140	969911	14.4	12.0	16.8	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2010"	"2010"	"All other non-drug and non-alcohol causes"	"O9"	5990	969911	617.6	601.9	633.2	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2011"	"2011"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	271	963502	28.1	24.8	31.5	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2011"	"2011"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	13	963502	Unreliable	0.7	2.3	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2011"	"2011"	"All other drug-induced causes"	"D9"	42	963502	4.4	3.1	5.9	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2011"	"2011"	"All other alcohol-induced causes"	"A9"	139	963502	14.4	12.0	16.8	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2011"	"2011"	"All other non-drug and non-alcohol causes"	"O9"	5763	963502	598.1	582.7	613.6	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2012"	"2012"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	306	950816	32.2	28.6	35.8	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2012"	"2012"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	13	950816	Unreliable	0.7	2.3	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2012"	"2012"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	16	950816	Unreliable	1.0	2.7	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2012"	"2012"	"All other drug-induced causes"	"D9"	35	950816	3.7	2.6	5.1	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2012"	"2012"	"All other alcohol-induced causes"	"A9"	123	950816	12.9	10.7	15.2	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2012"	"2012"	"All other non-drug and non-alcohol causes"	"O9"	5756	950816	605.4	589.7	621.0	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	315	936140	33.6	29.9	37.4	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2013"	"2013"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	15	936140	Unreliable	0.9	2.6	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2013"	"2013"	"All other drug-induced causes"	"D9"	23	936140	2.5	1.6	3.7	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2013"	"2013"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	15	936140	Unreliable	0.9	2.6	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2013"	"2013"	"All other alcohol-induced causes"	"A9"	128	936140	13.7	11.3	16.0	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2013"	"2013"	"All other non-drug and non-alcohol causes"	"O9"	5562	936140	594.1	578.5	609.8	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	328	923695	35.5	31.7	39.4	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2014"	"2014"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	10	923695	Unreliable	0.5	2.0	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2014"	"2014"	"All other drug-induced causes"	"D9"	25	923695	2.7	1.8	4.0	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2014"	"2014"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	26	923695	2.8	1.8	4.1	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2014"	"2014"	"All other alcohol-induced causes"	"A9"	136	923695	14.7	12.2	17.2	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2014"	"2014"	"All other non-drug and non-alcohol causes"	"O9"	5454	923695	590.5	574.8	606.1	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	361	916019	39.4	35.3	43.5	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2015"	"2015"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	11	916019	Unreliable	0.6	2.1	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2015"	"2015"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	11	916019	Unreliable	0.6	2.1	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2015"	"2015"	"All other drug-induced causes"	"D9"	20	916019	2.2	1.3	3.4	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2015"	"2015"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	21	916019	2.3	1.4	3.5	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2015"	"2015"	"All other alcohol-induced causes"	"A9"	143	916019	15.6	13.1	18.2	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2015"	"2015"	"All other non-drug and non-alcohol causes"	"O9"	5152	916019	562.4	547.1	577.8	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2016"	"2016"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	496	910556	54.5	49.7	59.3	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2016"	"2016"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	15	910556	Unreliable	0.9	2.7	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2016"	"2016"	"All other drug-induced causes"	"D9"	29	910556	3.2	2.1	4.6	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"2016"	"2016"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	13	910556	Unreliable	0.8	2.4	0.0%
